                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9827,                 3.5293,                 1.5507,                0.00912,                  0.065,                0.00486,                 0.0017,                  1.718,                 3.5937,                 1.4555,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.7499,                 3.4635,                  1.438,                0.03947,                0.28125,                0.02672,                0.01194,                 1.4423,                 3.5273,                 1.2723,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.5815,                 3.2718,                 1.2483,                0.09193,                  0.655,                 0.1089,                0.05617,                 1.2794,                 3.3751,                 1.1102,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.3769,                 2.8977,                  1.201,                0.12035,                 0.8575,                0.16767,                0.10155,                 1.2382,                 3.0561,                 1.0024,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.4471,                 2.6558,                 1.1246,                0.12421,                  0.885,                0.18134,                0.11327,                  1.199,                 2.8911,                 0.9779,             0.00036495,             0.00036495,             0.00036495
                      6,                  1.389,                 2.0639,                 1.0874,                0.12754,                0.90875,                0.68342,                0.44461,                 1.2143,                 2.6545,                 0.9834,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.3794,                 1.8213,                 1.0696,                0.88914,                 0.8321,                0.86552,                 0.5016,                 1.3926,                 2.3081,                 1.0483,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.4695,                 1.4119,                 1.0741,                0.91265,                0.79665,                0.86496,                0.51096,                 1.3775,                 1.7981,                 1.0406,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.5041,                 1.4471,                 1.0756,                0.88237,                0.82513,                0.86369,                0.50114,                 1.3352,                 1.3255,                 1.0309,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.3031,                 1.2679,                 1.0736,                0.88237,                0.82513,                0.86369,                0.50114,                 1.3352,                 1.3255,                 1.0309,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.3921,                 1.2768,                 1.0533,                0.87703,                0.82018,                0.85635,                0.47609,                 1.3751,                 1.0987,                 1.0662,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.4112,                 1.3717,                 1.1148,                0.89979,                 0.8325,                0.87517,                 0.5351,                 1.3274,                0.98322,                 1.0599,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.3083,                 1.1917,                 1.0667,                0.89979,                 0.8325,                0.87517,                 0.5351,                 1.3274,                0.98322,                 1.0599,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.3745,                 1.1641,                 1.0088,                0.90944,                0.85361,                 0.8849,                0.57367,                 1.2745,                0.93232,                  1.036,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.3508,                 1.0738,                 1.0598,                0.90944,                0.85361,                 0.8849,                0.57367,                 1.2745,                0.93232,                  1.036,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.2946,                 1.1543,                  1.023,                0.93523,                  0.845,                0.88083,                0.57266,                 1.2611,                0.87818,                 1.0465,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.3069,                 1.0319,                 1.0243,                0.93523,                  0.845,                0.88083,                0.57266,                 1.2611,                0.87818,                 1.0465,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.2853,                 1.1081,                 1.0245,                0.91366,                0.84661,                 0.8759,                0.57395,                 1.2468,                0.91867,                 1.0505,               0.001181,               0.001181,               0.001181
                     19,                 1.2712,                0.93476,                  1.079,                0.91366,                0.84661,                 0.8759,                0.57395,                 1.2468,                0.91867,                 1.0505,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.4007,                 1.1195,                 1.0892,                0.91366,                0.84661,                 0.8759,                0.57395,                 1.2468,                0.91867,                 1.0505,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.3303,                0.94856,                 1.0601,                0.90907,                    0.8,                0.86644,                0.56749,                 1.2367,                0.96275,                 1.0369,              0.0013313,              0.0013313,              0.0013313
                     22,                  1.392,                0.96821,                 1.0846,                0.90907,                    0.8,                0.86644,                0.56749,                 1.2367,                0.96275,                 1.0369,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.3585,                 1.0777,                 1.0609,                0.90907,                    0.8,                0.86644,                0.56749,                 1.2367,                0.96275,                 1.0369,              0.0014236,              0.0014236,              0.0014236
                     24,                 1.3964,                0.97743,                 1.0403,                0.90405,                0.82443,                0.87277,                 0.5568,                 1.2526,                0.98174,                 1.0448,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.3574,                0.92243,                 1.0904,                0.90405,                0.82443,                0.87277,                 0.5568,                 1.2526,                0.98174,                 1.0448,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.3405,                0.95063,                 1.0676,                0.90405,                0.82443,                0.87277,                 0.5568,                 1.2526,                0.98174,                 1.0448,               0.001505,               0.001505,               0.001505
                     27,                 1.3635,                0.96844,                 1.0721,                0.89882,                  0.795,                 0.8484,                0.50628,                 1.3699,                 1.1467,                 1.0946,               0.001505,               0.001505,               0.001505
                     28,                 1.4208,                 0.9393,                 1.0609,                0.89882,                  0.795,                 0.8484,                0.50628,                 1.3699,                 1.1467,                 1.0946,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3562,                0.92199,                 1.0338,                0.89882,                  0.795,                 0.8484,                0.50628,                 1.3699,                 1.1467,                 1.0946,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3764,                0.94899,                   1.04,                0.86561,                 0.8175,                0.83879,                0.49936,                 1.3388,                 1.1418,                 1.0659,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3618,                 1.0541,                  1.041,                0.86561,                 0.8175,                0.83879,                0.49936,                 1.3388,                 1.1418,                 1.0659,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.356,                0.93099,                 1.0497,                0.86561,                 0.8175,                0.83879,                0.49936,                 1.3388,                 1.1418,                 1.0659,               0.001406,               0.001406,               0.001406
